idrbd,nom_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,rural_rbd,efectivr,superar,iniciar,mejorar,integrar,igualdr,cluster,indicer,sel2016_25,sel2016_35,sel
1586,COLEGIO CARLOS COUSINO,5,51,5101,VALPARAISO,53,VALPARAISO,1,70.795331,44.35458,0,100,0,96.981709,532,61.949531,2,2,3
1587,COLEGIO MARIA AUXILIADORA,5,51,5101,VALPARAISO,53,VALPARAISO,1,71.313292,45.943023,86.59999999999999,100,86.583333,97.39836699999999,532,72.202772,2,1,2
1588,COLEGIO NTRA.SRA.DE LA MISERICORDIA,5,51,5101,VALPARAISO,53,VALPARAISO,1,68.670952,52.894212,0,100,0,97.298006,532,63.624193,2,2,3
1590,COLEGIO SALESIANO VALPARAISO,5,51,5101,VALPARAISO,53,VALPARAISO,1,72.230622,54.63504,92.363636,92.59259299999999,79,97.850134,532,74.893841,1,2,1
1593,ESCUELA PARTICULAR SANTA ANA,5,51,5101,VALPARAISO,53,VALPARAISO,1,54.224279,46.683715,78.09999999999999,92.59259299999999,22.416667,97.462936,512,62.234954,2,2,3
1594,COLEGIO SAN DAMIAN DE MOLOKAI,5,51,5101,VALPARAISO,53,VALPARAISO,1,52.432849,49.388127,0,62.962963,0,86.472393,533,53.512015,2,2,3
1595,COLEGIO ARTURO EDWARDS,5,51,5101,VALPARAISO,53,VALPARAISO,1,69.03489500000001,42.059718,65.03,100,79.333333,97.126215,511,68.555866,2,2,3
1596,COLEGIO SAN IGNACIO DE LOYOLA,5,51,5101,VALPARAISO,53,VALPARAISO,1,65.237735,42.786229,82.13,100,35.083333,97.712418,511,66.29680500000001,2,2,3
1597,ESCUELA PARTICULAR SAN LUIS,5,51,5101,VALPARAISO,53,VALPARAISO,1,57.286695,38.099766,82.43000000000001,92.59259299999999,57,96.782392,512,62.80379,2,2,3
1598,COLEGIO PARTICULAR ADVENTISTA,5,51,5101,VALPARAISO,53,VALPARAISO,1,66.33430300000001,47.382891,82.84999999999999,92.59259299999999,78.583333,97.66648600000001,512,70.049547,1,2,1
1599,COLEGIO SAGRADO CORAZON DE JESUS,5,51,5101,VALPARAISO,53,VALPARAISO,1,59.85401,41.749195,84.45,92.59259299999999,74.083333,94.961821,512,65.350377,2,2,3
1601,ESC SAGRADA FAMILIA DE NAZARET,5,51,5101,VALPARAISO,53,VALPARAISO,1,71.86258700000001,50.526991,94.3,81.481481,93.083333,97.243528,512,74.072087,1,2,1
1602,COLEGIO ESPERANZA,5,51,5101,VALPARAISO,53,VALPARAISO,1,67.114425,55.169758,87.83,74.074074,67.916667,97.295892,511,71.83208000000001,1,2,1
1603,COLEGIO PARTICULAR SAN PIO X,5,51,5101,VALPARAISO,53,VALPARAISO,1,65.59733799999999,52.116379,74.81999999999999,92.59259299999999,74.083333,96.842519,512,70.214174,1,2,1
1604,COLEGIO LEONARDO MURIALDO,5,51,5101,VALPARAISO,53,VALPARAISO,1,66.53743900000001,42.746285,100,92.59259299999999,94.916667,96.433088,532,70.40077700000001,2,2,3
1607,COLEGIO TERESITA DE LISIEUX,5,51,5101,VALPARAISO,53,VALPARAISO,1,54.848862,47.918305,89.09999999999999,74.074074,76.25,95.401909,532,65.339606,2,2,3
1609,ESC PART FRAY LUIS BELTRAN,5,51,5101,VALPARAISO,53,VALPARAISO,1,67.561595,46.894874,83.59999999999999,92.59259299999999,72.583333,97.791586,511,70.139522,2,2,3
1610,COLEGIO ALBERTO HURTADO SEGUNDO,5,51,5101,VALPARAISO,53,VALPARAISO,1,56.860972,41.15226,65.88,92.59259299999999,57.583333,94.19505,533,61.967922,2,2,3
