idrbd,dnino,dnina,bpnino,bpnina,nnino,nnina,snino,snina,onino,onina,rtnino,rtnina,tnino,tnina,total
8474,0,0,0,0,10,5,14,21,13,7,2,2,37,33,70
8411,0,0,2,2,19,13,12,12,16,9,2,4,49,36,85
8421,0,0,0,0,11,14,17,12,8,11,0,0,36,37,73
8422,0,0,0,1,0,12,0,18,0,4,0,2,0,35,35
24300,0,0,5,1,19,16,10,23,16,11,1,2,50,51,101
24317,0,0,1,0,7,4,10,5,4,1,0,0,22,10,32
8485,8,0,68,0,400,0,229,0,76,0,11,0,781,0,781
8487,0,2,0,33,0,301,0,204,0,28,0,6,0,568,568
8488,1,0,0,12,1,85,1,40,0,23,2,2,3,160,163
8489,0,0,0,5,2,83,0,48,1,15,0,2,3,151,154
8490,2,0,4,0,33,30,37,21,13,5,2,0,89,56,145
8491,8,0,20,0,195,0,119,0,62,0,7,0,404,0,404
8492,0,0,14,0,115,0,59,0,49,0,5,0,237,0,237
8495,1,0,2,1,21,27,6,6,7,3,2,2,37,37,74
8496,1,0,4,0,33,17,13,5,1,4,6,0,52,26,78
8498,2,1,1,1,35,21,12,21,13,15,3,2,63,59,122
8499,2,0,35,0,163,0,107,0,54,0,6,0,361,0,361
8500,2,0,21,3,111,24,68,15,45,7,5,1,247,49,296
8501,2,0,2,2,25,25,15,16,5,5,2,0,49,48,97
8503,6,0,7,8,55,80,35,49,22,26,2,1,125,163,288
8504,0,3,0,8,0,85,1,55,0,38,0,6,1,189,190
